buy_usdc,snusd_received,avg_price,borrowable_usdc,net_profit_usdc
100.0000000000,163.3612588278,0.6121402389,158.9943189917,-71.7832130083
150.0000000000,242.6358568520,0.6182103583,236.1497646380,-44.6277673620
200.0000000000,320.3688200018,0.6242804777,311.8047860788,-18.9727459212
250.0000000000,396.6046849582,0.6303505972,386.0027294495,5.2251974495
300.0000000000,471.3862892557,0.6364207166,458.7852871606,28.0077551606
350.0000000000,544.7548515487,0.6424908360,530.1925760178,49.4150440178
400.0000000000,616.7500473696,0.6485609555,600.2632109551,69.4856789551
450.0000000000,687.4100806725,0.6546310749,669.0343746663,88.2568426663
500.0000000000,756.7717514329,0.6607011943,736.5418833976,105.7643513976
550.0000000000,824.8705195554,0.6667713138,802.8202491466,122.0427171466
600.0000000000,891.7405653213,0.6728414332,867.9027384944,137.1252064944
650.0000000000,957.4148465943,0.6789115526,931.8214282817,151.0438962817
700.0000000000,1021.9251529839,0.6849816720,994.6072583245,163.8297263245
750.0000000000,1085.3021571544,0.6910517915,1056.2900813520,175.5125493520
800.0000000000,1147.5754634536,0.6971219109,1116.8987103345,186.1211783345
850.0000000000,1208.7736540223,0.7031920303,1176.4609633608,195.6834313608
900.0000000000,1268.9243325368,0.7092621498,1235.0037062113,204.2261742113
950.0000000000,1328.0541657232,0.7153322692,1292.5528927628,211.7753607628
1000.0000000000,1386.1889227771,0.7214023886,1349.1336033539,218.3560713539
1050.0000000000,1443.3535128087,0.7274725081,1404.7700812296,223.9925492296
1100.0000000000,1499.5720204294,0.7335426275,1459.4857671763,228.7082351763
1150.0000000000,1554.8677395856,0.7396127469,1513.3033324514,232.5258004514
1200.0000000000,1609.2632057401,0.7456828664,1566.2447101044,235.4671781044
1250.0000000000,1662.7802264947,0.7517529858,1618.3311247807,237.5535927807
1300.0000000000,1715.4399107406,0.7578231052,1669.5831210929,238.8055890929
1350.0000000000,1767.2626964192,0.7638932247,1720.0205906395,239.2430586395
1400.0000000000,1818.2683769700,0.7699633441,1769.6627977458,238.8852657458
1450.0000000000,1868.4761265365,0.7760334635,1818.5284039962,237.7508719962
1500.0000000000,1917.9045239996,0.7821035830,1866.6354916244,235.8579596244
1550.0000000000,1966.5715758987,0.7881737024,1914.0015858230,233.2240538230
1600.0000000000,2014.4947383037,0.7942438218,1960.6436760296,229.8661440296
1650.0000000000,2061.6909376899,0.8003139413,2006.5782362445,225.8007042445
1700.0000000000,2108.1765908712,0.8063840607,2051.8212444306,221.0437124306
1750.0000000000,2153.9676240392,0.8124541801,2096.3882010439,215.6106690439
1800.0000000000,2199.0794909554,0.8185242996,2140.2941467391,209.5166147391
1850.0000000000,2243.5271903399,0.8245944190,2183.5536792935,202.7761472935
1900.0000000000,2287.3252824972,0.8306645384,2226.1809697885,195.4034377885
1950.0000000000,2330.4879052192,0.8367346579,2268.1897780875,187.4122460875
2000.0000000000,2373.0287890000,0.8428047773,2309.5934676438,178.8159356438
2050.0000000000,2414.9612715987,0.8488748967,2350.4050196743,169.6274876743
2100.0000000000,2456.2983119815,0.8549450161,2390.6370467286,159.8595147286
2150.0000000000,2497.0525036738,0.8610151356,2430.3018056848,149.5242736848
2200.0000000000,2537.2360875523,0.8670852550,2469.4112101987,138.6336781987
2250.0000000000,2576.8609641021,0.8731553744,2507.9768426343,127.1993106343
2300.0000000000,2615.9387051678,0.8792254939,2546.0099654999,115.2324334999
2350.0000000000,2654.4805652197,0.8852956133,2583.5215324136,102.7440004136
2400.0000000000,2692.4974921603,0.8913657327,2620.5221986208,89.7446666208
2450.0000000000,2730.0001376926,0.8974358522,2657.0223310854,76.2447990854
2500.0000000000,2766.9988672697,0.9035059716,2693.0320181732,62.2544861732
2550.0000000000,2803.5037696461,0.9095760910,2728.5610789484,47.7835469484
2600.0000000000,2839.5246660501,0.9156462105,2763.6190721000,32.8415401000
2650.0000000000,2875.0711189921,0.9217163299,2798.2153045155,17.4377725155
2700.0000000000,2910.1524407288,0.9277864493,2832.3588395181,1.5813075181
2750.0000000000,2944.7777013960,0.9338565688,2866.0585047826,-14.7190272174
2800.0000000000,2978.9557368268,0.9399266882,2899.3228999445,-31.4546320555
2850.0000000000,3012.6951560693,0.9459968076,2932.1604039165,-48.6171280835
2900.0000000000,3046.0043486153,0.9520669271,2964.5791819244,-66.1983500756
2950.0000000000,3078.8914913561,0.9581370465,2996.5871922762,-84.1903397238
3000.0000000000,3111.3645552739,0.9642071659,3028.1921928757,-102.5853391243
3050.0000000000,3143.4313118828,0.9702772854,3059.4017474904,-121.3757845096
3100.0000000000,3175.0993394299,0.9763474048,3090.2232317871,-140.5543002129
3150.0000000000,3206.3760288652,0.9824175242,3120.6638391427,-160.1136928573
3200.0000000000,3237.2685895934,0.9884876437,3150.7305862413,-180.0469457587
3250.0000000000,3267.7840550132,0.9945577631,3180.4303184664,-200.3472135336
3300.0000000000,3297.9292878564,1.0006278825,3209.7697150965,-221.0078169035
3350.0000000000,3327.7109853328,1.0066980019,3238.7552943131,-242.0222376869
3400.0000000000,3357.1356840910,1.0127681214,3267.3934180284,-263.3841139716
3450.0000000000,3386.2097650012,1.0188382408,3295.6902965405,-285.0872354595
3500.0000000000,3414.9394577684,1.0249083602,3323.6519930230,-307.1255389770
3550.0000000000,3443.3308453822,1.0309784797,3351.2844278566,-329.4931041434
3600.0000000000,3471.3898684109,1.0370485991,3378.5933828073,-352.1841491927
3650.0000000000,3499.1223291454,1.0431187185,3405.5845050605,-375.1930269395
3700.0000000000,3526.5338955992,1.0491888380,3432.2633111133,-398.5142208867
3750.0000000000,3553.6301053700,1.0552589574,3458.6351905337,-422.1423414663
3800.0000000000,3580.4163693699,1.0613290768,3484.7054095902,-446.0721224098
3850.0000000000,3606.8979754270,1.0673991963,3510.4791147580,-470.2984172420
3900.0000000000,3633.0800917658,1.0734693157,3535.9613361054,-494.8161958946
3950.0000000000,3658.9677703694,1.0795394351,3561.1569905671,-519.6205414329
4000.0000000000,3684.5659502296,1.0856095546,3586.0708851067,-544.7066468933
4050.0000000000,3709.8794604880,1.0916796740,3610.7077197743,-570.0698122257
4100.0000000000,3734.9130234736,1.0977497934,3635.0720906624,-595.7054413376
4150.0000000000,3759.6712576389,1.1038199129,3659.1684927641,-621.6090392359
4200.0000000000,3784.1586804015,1.1098900323,3683.0013227382,-647.7762092618
4250.0000000000,3808.3797108910,1.1159601517,3706.5748815831,-674.2026504169
4300.0000000000,3832.3386726081,1.1220302712,3729.8933772246,-700.8841547754
4350.0000000000,3856.0397959976,1.1281003906,3752.9609270200,-727.8166049800
4400.0000000000,3879.4872209380,1.1341705100,3775.7815601815,-754.9959718185
4450.0000000000,3902.6849991528,1.1402406295,3798.3592201228,-782.4183118772
4500.0000000000,3925.6370965443,1.1463107489,3820.6977667303,-810.0797652697
4550.0000000000,3948.3473954537,1.1523808683,3842.8009785634,-837.9765534366
4600.0000000000,3970.8196968505,1.1584509878,3864.6725549849,-866.1049770151
4650.0000000000,3993.0577224536,1.1645211072,3886.3161182253,-894.4614137747
4700.0000000000,4015.0651167854,1.1705912266,3907.7352153826,-923.0423166174
4750.0000000000,4036.8454491636,1.1766613460,3928.9333203601,-951.8442116399
4800.0000000000,4058.4022156308,1.1827314655,3949.9138357449,-980.8636962551
4850.0000000000,4079.7388408251,1.1888015849,3970.6800946284,-1010.0974373716
4900.0000000000,4100.8586797942,1.1948717043,3991.2353623718,-1039.5421696282
4950.0000000000,4121.7650197538,1.2009418238,4011.5828383177,-1069.1946936823
5000.0000000000,4142.4610817934,1.2070119432,4031.7256574499,-1099.0518745501
5050.0000000000,4162.9500225305,1.2130820626,4051.6668920042,-1129.1106399958
5100.0000000000,4183.2349357162,1.2191521821,4071.4095530299,-1159.3679789701
5150.0000000000,4203.3188537917,1.2252223015,4090.9565919056,-1189.8209400944
5200.0000000000,4223.2047494003,1.2312924209,4110.3109018106,-1220.4666301894
5250.0000000000,4242.8955368535,1.2373625404,4129.4753191517,-1251.3022128483
5300.0000000000,4262.3940735554,1.2434326598,4148.4526249493,-1282.3249070507
5350.0000000000,4281.7031613845,1.2495027792,4167.2455461827,-1313.5319858173
5400.0000000000,4300.8255480362,1.2555728987,4185.8567570965,-1344.9207749035
5450.0000000000,4319.7639283262,1.2616430181,4204.2888804690,-1376.4886515310
5500.0000000000,4338.5209454562,1.2677131375,4222.5444888446,-1408.2330431554
